,地方番号,品種名,品種名（かな）,分類:水陸,分類:粳糯,系統番号,育成開始年,配布開始年,農林登録番号,農林登録年,命名年,育成地,交配組合せ
1,"愛知1号
",,,水稲,粳,M639-197,1964,1968,,,,愛知県　県農業総合試験場,StNo.1/GA-8
2,"愛知2号
",しまはしらず,しまはしらず,水稲,粳,M639-55,1964,1968,,,1971,愛知県　県農業総合試験場作物研究所,StNo.1/GA-8
3,"愛知3号
",,,水稲,粳,M629-20,1964,1968,,,,愛知県　県農業総合試験場,(クサブエ／幸風)-8(幸光)/コクマサリ
4,"愛知4号
",,,水稲,粳,M551-矢3,1962,1968,,,,愛知県　県農業総合試験場,L-965/秋晴
5,"愛知5号
 
",太刀風,たちかぜ,水稲,粳,M502-27-3,1961,1968,,,1971,愛知県　県農業総合試験場作物研究所,M45-27/GA-3
6,"愛知6号
",,,水稲,粳,あ系12,1964,1969,,,,愛知県　県農業総合試験場,StNo.1/GA-8
7,"愛知7号
",,,水稲,粳,あ系26,1964,1969,,,,愛知県　県農業総合試験場,StNo.1/日本晴
8,"愛知8号
",,,水稲,粳,あ系36,1964,1970,,,,愛知県　県農業総合試験場作物研究所,StNo.1/GA-8
9,"愛知9号
",,,水稲,粳,あ系22,1963,1970,,,,愛知県　県農業総合試験場作物研究所,(クサブエ／幸風)-5/早生吉良黄金
10,"愛知10号
",,,水稲,粳,あ系40,1964,1970,,,,愛知県　県農業総合試験場作物研究所,M154-7/M292-4
11,"愛知11号
",,,水稲,粳,あ系46,1964,1970,,,,愛知県　県農業総合試験場作物研究所,金南風/予713
12,"愛知12号
",,,水稲,粳,あ系47,1964,1970,,,,愛知県　県農業総合試験場作物研究所,金南風/予713
13,"愛知13号
",,,水稲,粳,GA-15B,1961,1970,,,,愛知県　県農業総合試験場作物研究所,GA-3/山路早生
14,"愛知14号
",,,水稲,粳,あ系29,1962,1971,,,,愛知県　県農業総合試験場作物研究所,新山吹/ハツニシキ
15,"愛知15号
",,,水稲,粳,956-99,1967,1971,,,,愛知県　県農業総合試験場作物研究所,日本晴/M639-157
16,"愛知16号
",,,水稲,粳,あ系51,1965,1971,,,,愛知県　県農業総合試験場作物研究所,40-3/中国31号
17,"愛知17号
",,,水稲,粳,あ系45,1964,1971,,,,愛知県　県農業総合試験場作物研究所,金南風/予713
18,"愛知18号
 
",碧風,あおかぜ,水稲,粳,あ系55,1964,1971,,,1980,愛知県　県農業総合試験場作物研究所,M494-21/東海21号
19,"愛知19号
",,,水稲,粳,997-195,1967,1971,,,,愛知県　県農業総合試験場作物研究所,西海104号/良吉黄金
20,"愛知20号
",,,水稲,粳,あ系76,1967,1972,,,,愛知県　県農業総合試験場作物研究所,日本晴/40-11
21,"愛知21号
",,,水稲,粳,あ系81,1967,1972,,,,愛知県　県農業総合試験場作物研究所,M639-113-3/早生吉良黄金
22,"愛知22号
",,,水稲,粳,あ系69,1967,1972,,,,愛知県　県農業総合試験場作物研究所,日本晴/M639-157
23,"愛知23号
",,,水稲,粳,956-341,1967,1972,,,,愛知県　県農業総合試験場作物研究所,日本晴/M639-157
24,"愛知24号
",,,水稲,粳,あ系52,1965,1972,,,,愛知県　県農業総合試験場作物研究所,40-3/中国31号
25,"愛知25号
",,,水稲,粳,904-17,1967,1972,,,,愛知県　県農業総合試験場作物研究所,幸風/40-11
26,"愛知26号
 
",初星,はつぼし,水稲,粳,あ系96,1966,1972,,,1977,愛知県　県農業総合試験場作物研究所,コシヒカリ/40-11
27,"愛知糯27号
",,,水稲,糯,あ系糯83,1967,1973,,,,愛知県　県農業総合試験場作物研究所,GAm-16/40-11
28,"愛知28号
",,,水稲,粳,あ系118,1967,1974,,,,愛知県　県農業総合試験場作物研究所,40-11/ヤマセニシキ
29,"愛知29号
",,,水稲,粳,あ系116,1968,1974,,,,愛知県　県農業総合試験場作物研究所,愛知2号/コシヒカリ
30,"愛知30号
",,,水稲,粳,あ系88,1966,1974,,,,愛知県　県農業総合試験場作物研究所,GA-8/GA-14
31,"愛知31号
",,,水稲,粳,あ系126,1968,1974,,,,愛知県　県農業総合試験場作物研究所,日本晴/愛知2号
32,"愛知32号
",,,水稲,粳,あ系102,1967,1974,,,,愛知県　県農業総合試験場作物研究所,日本晴/40-11
33,"愛知33号
",,,水稲,粳,あ系105,1967,1974,,,,愛知県　県農業総合試験場作物研究所,峰光/中国40号
34,"愛知34号
",,,水稲,粳,あ系147,1970,1975,,,,愛知県　県農業総合試験場作物研究所,愛知8号/日本晴
35,"愛知35号
",,,水稲,粳,1486-41,1972,1975,,,,愛知県　県農業総合試験場作物研究所,愛知15号/関東98号
36,"愛知36号
",,,水稲,粳,あ系172,1970,1976,,,,愛知県　県農業総合試験場作物研究所,愛知5号/大空
37,"愛知37号
 
",青い空,あおいそら,水稲,粳,あ系179,1972,1976,,,1983,愛知県　県農業総合試験場作物研究所,愛知6号/関東98号
38,"愛知38号
",,,水稲,粳,1486-9,1972,1976,,,,愛知県　県農業総合試験場作物研究所,愛知15号/関東98号
39,"愛知39号
",,,水稲,粳,あ系208,1973,1977,,,,愛知県　県農業総合試験場作物研究所,あ系118/コシヒカリ
40,"愛知40号
 
",黄金晴,こがねばれ,水稲,粳,あ系103B,1967,1977,,,1980,愛知県　県農業総合試験場作物研究所,日本晴/40-11
41,"愛知41号
",,,水稲,粳,あ系211,1973,1978,,,,愛知県　県農業総合試験場作物研究所,愛知26号/越南62号
42,"愛知42号
",,,水稲,粳,あ系萎229,1974,1978,,,,愛知県　県農業総合試験場作物研究所,日本晴/B6F1-18
43,"愛知43号
",,,水稲,粳,あ系237,1972,1979,,,,愛知県　県農業総合試験場作物研究所,愛知26号/ササニシキ
44,"愛知44号
 
",星の光,ほしのひかり,水稲,粳,育30,1972,1979,,,1982,愛知県　県農業総合試験場作物研究所,あ系179/コシヒカリ
45,"愛知45号
",,,水稲,粳,あ系235,1972,1979,,,,愛知県　県農業総合試験場作物研究所,太刀風/あ系95
46,"愛知46号
",,,水稲,粳,あ系直239,1974,1979,,,,愛知県　県農業総合試験場作物研究所,1006-1/関東107号
47,"愛知47号
",,,水稲,粳,あ系265,1972,1980,,,,愛知県　県農業総合試験場作物研究所,あ系96/コシヒカリ
48,"愛知糯48号
 
",恵糯,めぐみもち,水稲,糯,育M105,1973,1980,,,1983,愛知県　県農業総合試験場作物研究所,愛知糯27号/ふ系102号
49,"愛知49号
",,,水稲,粳,あ系萎251,1974,1980,,,,愛知県　県農業総合試験場作物研究所,日本晴/B7F1-18
50,"愛知50号
",,,水稲,粳,育165,1976,1980,,,,愛知県　県農業総合試験場作物研究所,愛知32号/秋晴
51,"愛知51号
 
",若水,わかみず,水稲,粳,あ系酒226,1972,1980,,,1983,愛知県　県農業総合試験場作物研究所,あ系酒101/五百万石
52,"愛知52号
",,,水稲,粳,育228,1976,1981,,,,愛知県　県農業総合試験場作物研究所,中部17号/あ系208
53,"愛知53号
 
",せとむすめ,せとむすめ,水稲,粳,あ系261,1973,1981,,,1988,愛知県　県農業総合試験場作物研究所,愛知18号/関東107号
54,"愛知54号
",,,水稲,粳,育229,1976,1982,,,,愛知県　県農業総合試験場作物研究所,中部17号/あ系208
55,"愛知55号
",,,水稲,粳,あ系308,1976,1982,,,,愛知県　県農業総合試験場作物研究所,中部17号/あ系208
56,"愛知56号
 
",月の光,つきのひかり,水稲,粳,育339,1976,1982,,,1985,愛知県　県農業総合試験場作物研究所,あ系103B//愛知37号/北陸103号
